domain_type_group,ai_pr,n_commits,avg_clt,avg_llm_error,pct_high_impact
0,0,97,2.722,0.235,21.649
0,1,410,2.461,0.23,12.439
1,0,95,2.655,0.274,20.0
1,1,340,2.622,0.285,18.235
2,1,44,2.776,0.27,6.818
3,1,35,2.694,0.324,17.143
4,0,752,2.657,0.296,26.862
4,1,271,2.579,0.246,22.14
