full_name,url,merged_prs_checked,ai_prs_found,explicit_ai_rules
OWASP/CheatSheetSeries,https://github.com/OWASP/CheatSheetSeries,71,0,['generated by ai']
google/python-fire,https://github.com/google/python-fire,50,17,[]
huggingface/lerobot,https://github.com/huggingface/lerobot,64,16,[]
aio-libs/aiohttp,https://github.com/aio-libs/aiohttp,93,24,[]
pytest-dev/pytest,https://github.com/pytest-dev/pytest,85,14,[]
simonw/llm,https://github.com/simonw/llm,56,0,['llm tag']
pypa/pip,https://github.com/pypa/pip,65,29,[]
Acly/krita-ai-diffusion,https://github.com/Acly/krita-ai-diffusion,71,0,['ai generated']
OctoPrint/OctoPrint,https://github.com/OctoPrint/OctoPrint,73,0,"['generated by ai', 'ai generated']"
